Indicator,research.question,sub.research.question,hypothesis,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
Site Infrastructures,% of sites reporting electricty an solar power available in site,% of sites reporting electricty an solar power available in site,% of sites reporting electricty an solar power available in site,,country_name,categorical,c6_electricity_solar_power_available_in_site,categorical,direct_reporting
Site Infrastructures,Most commonly reported primary water source,Most commonly reported primary water source,Most commonly reported primary water source,,country_name,categorical,c8_primary_water_source,categorical,direct_reporting
Site Infrastructures,Most commonly reported primary shelter type,Most commonly reported primary shelter type,Most commonly reported primary shelter type,,country_name,categorical,c9_primary_shelter_type,categorical,direct_reporting
Site Infrastructures,Most commonly reported primary latrine type,Most commonly reported primary latrine type,Most commonly reported primary latrine type,,country_name,categorical,c10_primary_latrine_type,categorical,direct_reporting
Adequacy of service,Level of reported adequacy of rrm distribution,Level of reported adequacy of rrm distribution,Level of reported adequacy of rrm distribution,,country_name,categorical,rrm_distributions,categorical,direct_reporting
Adequacy of service,Level of reported adequacy of shelter services,Level of reported adequacy of shelter services,Level of reported adequacy of shelter services,,country_name,categorical,shelter_maintenance_services,categorical,direct_reporting
Adequacy of service,Level of reported adequacy of nfi distribution,Level of reported adequacy of nfi distribution,Level of reported adequacy of nfi distribution,,country_name,categorical,nfi_distribution,categorical,direct_reporting
Adequacy of service,Level of reported adequacy of food distribution,Level of reported adequacy of food distribution,Level of reported adequacy of food distribution,,country_name,categorical,food_distribution,categorical,direct_reporting
Adequacy of service,Level of reported adequacy of cash distribution,Level of reported adequacy of cash distribution,Level of reported adequacy of cash distribution,,country_name,categorical,cash_distributions,categorical,direct_reporting
Adequacy of service,Level of reported adequacy of wash services,Level of reported adequacy of wash services,Level of reported adequacy of wash services,,country_name,categorical,wash_services,categorical,direct_reporting
Adequacy of service,Level of reported adequacy of health services,Level of reported adequacy of health services,Level of reported adequacy of health services,,country_name,categorical,health_services,categorical,direct_reporting
Adequacy of service,Level of reported adequacy of education services,Level of reported adequacy of education services,Level of reported adequacy of education services,,country_name,categorical,education_services,categorical,direct_reporting
Adequacy of service,Level of reported adequacy of livelihood services,Level of reported adequacy of livelihood services,Level of reported adequacy of livelihood services,,country_name,categorical,livelihood_services,categorical,direct_reporting
Adequacy of service,Level of reported adequacy of protection services,Level of reported adequacy of protection services,Level of reported adequacy of protection services,,country_name,categorical,protection_services,categorical,direct_reporting
Adequacy of service,Level of reported adequacy of nutrition services,Level of reported adequacy of nutrition services,Level of reported adequacy of nutrition services,,country_name,categorical,nutrition_services,categorical,direct_reporting
Adequacy of service,Level of reported adequacy of waste disposal services,Level of reported adequacy of waste disposal services,Level of reported adequacy of waste disposal services,,country_name,categorical,waste_disposal_services,categorical,direct_reporting
Threats to site,% of sites holding occupancy agreement facing eviction threat,% of sites holding occupancy agreement facing eviction threat,% of sites holding occupancy agreement facing eviction threat,,country_name,categorical,agreement_with_issue,categorical,direct_reporting
Threats to site,% of sites reporting conflict related incidents as threat,% of sites reporting conflict related incidents as threat,% of sites reporting conflict related incidents as threat,,country_name,categorical,f1_threats_to_the_site.conflict_related_incidents,categorical,direct_reporting
Threats to site,% of sites reporting infectous diiseases as threat,% of sites reporting infectous diiseases as threat,% of sites reporting infectous diiseases as threat,,country_name,categorical,f1_threats_to_the_site.infectious_diseases,categorical,direct_reporting
Threats to site,% of sites reporting fire-related incidents as threat,% of sites reporting fire-related incidents as threat,% of sites reporting fire-related incidents as threat,,country_name,categorical,f1_threats_to_the_site.fire_related_incidents,categorical,direct_reporting
Threats to site,% of sites reporting water contamination as threat,% of sites reporting water contamination as threat,% of sites reporting water contamination as threat,,country_name,categorical,f1_threats_to_the_site.water_contamination,categorical,direct_reporting
Threats to site,% of sites reporting flooding as threat,% of sites reporting flooding as threat,% of sites reporting flooding as threat,,country_name,categorical,f1_threats_to_the_site.flooding,categorical,direct_reporting
Threats to site,% of sites reporting friction between communities as threat,% of sites reporting friction between communities as threat,% of sites reporting friction between communities as threat,,country_name,categorical,f1_threats_to_the_site.friction_between_communities,categorical,direct_reporting
Threats to site,% of sites reporting eviction as threaet,% of sites reporting eviction as threaet,% of sites reporting eviction as threaet,,country_name,categorical,f1_threats_to_the_site.eviction,categorical,direct_reporting
Priority needs,Most commonly reported first priority need,Most commonly reported first priority need,Most commonly reported first priority need,,country_name,categorical,i1_top_priority_need,categorical,direct_reporting
Priority needs,Most commonly reported second priority need,Most commonly reported second priority need,Most commonly reported second priority need,,country_name,categorical,i2_second_priority_need,categorical,direct_reporting
Priority needs,Most commonly reported third priority need,Most commonly reported third priority need,Most commonly reported third priority need,,country_name,categorical,i3_third_priority_need,categorical,direct_reporting
Vulnerable groups,% of sites reporting unaccompanied or separeted children living in site,% of sites reporting unaccompanied or separeted children living in site,% of sites reporting unaccompanied or separeted children living in site,,country_name,categorical,c7_presence_of_particularly_vulnerable_groups.unaccompanied_separated_children,categorical,direct_reporting
Vulnerable groups,% of sites reporting child-headed households living in site,% of sites reporting child-headed households living in site,% of sites reporting child-headed households living in site,,country_name,categorical,c7_presence_of_particularly_vulnerable_groups.child_headed_hh,categorical,direct_reporting
Vulnerable groups,% of sites reporting female-headed households living in site,% of sites reporting female-headed households living in site,% of sites reporting female-headed households living in site,,country_name,categorical,c7_presence_of_particularly_vulnerable_groups.female_headed_hh,categorical,direct_reporting
Vulnerable groups,% of sites reporting marginalized people living in site,% of sites reporting marginalized people living in site,% of sites reporting marginalized people living in site,,country_name,categorical,c7_presence_of_particularly_vulnerable_groups.marginalized_people,categorical,direct_reporting
Vulnerable groups,% of sites reporting pregnant and lactating women living in site,% of sites reporting pregnant and lactating women living in site,% of sites reporting pregnant and lactating women living in site,,country_name,categorical,c7_presence_of_particularly_vulnerable_groups.pregnant_and_lactating_women,categorical,direct_reporting
Vulnerable groups,% of sites reporting persons with disabilities living in site,% of sites reporting persons with disabilities living in site,% of sites reporting persons with disabilities living in site,,country_name,categorical,c7_presence_of_particularly_vulnerable_groups.persons_with_disabilities,categorical,direct_reporting
Vulnerable groups,% of sites reporting elderly living in site,% of sites reporting elderly living in site,% of sites reporting elderly living in site,,country_name,categorical,c7_presence_of_particularly_vulnerable_groups.elderly,categorical,direct_reporting
Vulnerable groups,% of sites reporting persons with chronic diseases serious medical conditions living in site,% of sites reporting persons with chronic diseases serious medical conditions living in site,% of sites reporting persons with chronic diseases serious medical conditions living in site,,country_name,categorical,c7_presence_of_particularly_vulnerable_groups.persons_with_chronic_diseases_serious_medical_conditions,categorical,direct_reporting
Vulnerable groups,% of sites reporting none living in site,% of sites reporting none living in site,% of sites reporting none living in site,,country_name,categorical,c7_presence_of_particularly_vulnerable_groups.none,categorical,direct_reporting
Cooking facilities,Most commonly reported primary cooking modality,Most commonly reported primary cooking modality,Most commonly reported primary cooking modality,,country_name,categorical,Primary_cooking_modality,categorical,direct_reporting
Cooking facilities,Most commonly reported type of cooking space,Most commonly reported type of cooking space,Most commonly reported type of cooking space,,country_name,categorical,Primary_cooking_space,categorical,direct_reporting
Cooking facilities,% of sites reporting mud guards,% of sites reporting mud guards,% of sites reporting mud guards,,country_name,categorical,Safe_cooking_practices.mud_guards,categorical,direct_reporting
Cooking facilities,% of sites reporting wind Shields,% of sites reporting wind Shields,% of sites reporting wind Shields,,country_name,categorical,Safe_cooking_practices.wind_Shields,categorical,direct_reporting
Cooking facilities,% of sites reporting safe distance from shelter,% of sites reporting safe distance from shelter,% of sites reporting safe distance from shelter,,country_name,categorical,Safe_cooking_practices.safe_distance_from_shelter,categorical,direct_reporting
Cooking facilities,% of sites reporting none,% of sites reporting none,% of sites reporting none,,country_name,categorical,Safe_cooking_practices.none,categorical,direct_reporting
Cooking facilities,% of sites reporting other please specify,% of sites reporting other please specify,% of sites reporting other please specify,,country_name,categorical,Safe_cooking_practices.other_please_specify,categorical,direct_reporting
Cooking facilities,% of sites reporting fire points,% of sites reporting fire points,% of sites reporting fire points,,country_name,categorical,additional_fire_safety_measures.fire_points,categorical,direct_reporting
Cooking facilities,% of sites reporting fire wardens,% of sites reporting fire wardens,% of sites reporting fire wardens,,country_name,categorical,additional_fire_safety_measures.fire_wardens,categorical,direct_reporting
Cooking facilities,% of sites reporting fire breaks,% of sites reporting fire breaks,% of sites reporting fire breaks,,country_name,categorical,additional_fire_safety_measures.fire_breaks,categorical,direct_reporting
Cooking facilities,% of sites reporting fire routes,% of sites reporting fire routes,% of sites reporting fire routes,,country_name,categorical,additional_fire_safety_measures.escape_routes,categorical,direct_reporting
Cooking facilities,% of sites reporting fire,% of sites reporting fire,% of sites reporting fire,,country_name,categorical,additional_fire_safety_measures.none,categorical,direct_reporting
Cooking facilities,% of sites reporting fire please,% of sites reporting fire please,% of sites reporting fire please,,country_name,categorical,additional_fire_safety_measures.Other_please_specify,categorical,direct_reporting
